date,US_holiday,GB_holiday,CA_holiday,AU_holiday,UA_holiday,RU_holiday,FR_holiday,DE_holiday,BR_holiday,CN_holiday,JP_holiday,PK_holiday,KP_holiday,KR_holiday,IN_holiday,TW_holiday,NL_holiday,ES_holiday,SE_holiday,MX_holiday,IR_holiday,IL_holiday,SA_holiday,SY_holiday,FI_holiday,IE_holiday,AT_holiday,NO_holiday,CH_holiday,IT_holiday,MY_holiday,EG_holiday,TR_holiday,PT_holiday,PS_holiday,AE_holiday,Holidays
Sep-15,1,0,1,0,0,0,0,0,1,1,3,0,0,4,0,1,0,0,4,1,0,9,5,0,0,0,0,0,0,0,2,4,4,0,0,4,45
Oct-15,1,0,1,0,1,0,0,1,1,3,1,0,0,2,1,2,0,1,5,0,0,5,0,0,1,1,1,0,0,0,1,2,1,0,0,1,33
Nov-15,2,1,0,0,0,1,2,0,2,0,2,0,0,0,1,0,0,1,5,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,23
Dec-15,1,3,2,3,0,1,1,2,1,0,1,0,0,1,1,0,2,3,8,1,0,8,0,0,4,3,3,2,1,3,2,1,0,2,0,3,63
Jan-16,2,3,1,2,2,8,1,1,1,1,2,0,0,1,2,1,1,2,7,1,0,0,0,0,2,1,2,1,1,2,1,3,1,1,0,1,55
Feb-16,1,0,1,0,0,1,0,0,2,3,1,0,0,4,0,5,0,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26
Mar-16,0,3,2,2,1,1,1,2,2,0,2,0,0,1,1,0,3,2,6,1,0,3,0,0,3,2,1,4,3,2,0,0,0,2,0,0,50
Apr-16,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,4,0,0,8,0,0,0,0,0,0,0,1,0,1,1,1,0,0,22
May-16,1,2,1,0,3,2,4,3,2,1,3,0,0,3,1,0,3,1,6,2,0,4,0,0,3,1,4,5,3,1,2,2,2,2,0,1,68
Jun-16,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,1,0,0,7,0,0,2,0,0,2,1,0,0,0,1,2,1,0,1,0,0,23
Jul-16,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,2,4,3,0,0,3,27
Aug-16,0,2,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,4,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,20
Sep-16,1,0,1,0,0,0,0,0,1,1,2,0,0,3,0,1,0,0,4,1,0,0,7,0,0,0,0,0,0,0,2,4,4,0,0,4,36
Oct-16,1,0,1,0,1,0,0,1,1,3,1,0,0,2,2,2,0,1,5,0,0,14,0,0,0,1,1,0,0,0,2,2,1,1,0,1,44
Nov-16,2,1,0,0,0,1,2,0,2,0,2,0,0,0,0,0,0,1,5,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,23
Dec-16,2,3,3,3,0,1,1,2,1,0,1,0,0,1,1,0,2,3,7,2,0,7,0,0,4,3,3,2,1,3,4,1,0,3,0,3,67
Jan-17,3,3,2,3,2,8,1,1,1,4,3,0,0,5,2,5,1,2,6,2,0,1,0,0,2,2,2,1,1,2,5,3,1,1,0,1,76
Feb-17,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Mar-17,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,4,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17
Apr-17,0,2,2,3,1,0,1,2,3,1,1,0,0,0,0,1,4,2,7,0,0,9,0,0,3,1,1,4,3,3,0,3,1,3,0,1,62
May-17,1,2,1,0,3,2,3,2,1,2,3,0,0,3,1,1,1,1,6,1,0,5,0,0,2,1,2,3,1,1,2,1,2,1,0,0,55
Jun-17,0,0,0,0,2,1,1,1,1,0,0,0,0,1,0,0,2,0,7,0,0,0,4,0,3,1,2,2,2,1,5,4,3,2,0,3,48
Jul-17,1,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,13
Aug-17,0,2,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,4,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,23
Sep-17,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,4,2,0,5,7,0,0,0,0,0,0,0,3,4,4,0,0,4,38
Oct-17,1,0,1,0,1,0,0,2,1,4,1,0,0,4,2,3,0,1,5,0,0,9,0,0,0,1,1,0,0,0,1,1,1,1,0,0,41
Nov-17,3,1,0,0,0,1,2,0,2,0,2,0,0,0,0,0,0,1,5,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,24
Dec-17,1,2,2,2,1,1,1,2,1,0,1,0,0,1,1,0,2,3,7,1,0,8,0,0,4,2,3,2,1,3,2,0,0,3,0,2,59
Jan-18,2,2,1,2,2,8,1,1,1,1,2,0,0,1,2,1,1,2,6,1,0,0,0,0,2,1,2,1,1,2,1,3,1,1,0,1,53
Feb-18,1,0,1,0,0,1,0,0,2,3,2,0,0,3,0,5,0,0,4,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26
Mar-18,0,3,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,2,5,2,0,4,0,0,1,2,0,2,1,0,0,0,0,1,0,0,33
Apr-18,0,1,1,2,1,0,1,1,2,1,2,0,0,0,0,1,3,0,6,0,0,9,0,0,2,1,1,2,2,3,0,3,1,2,0,1,49
May-18,1,2,1,0,3,2,4,3,2,1,3,0,0,4,1,0,3,1,6,1,0,3,0,0,3,1,4,5,3,1,3,1,2,2,0,0,66
Jun-18,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,7,0,0,0,6,0,2,1,0,0,0,1,3,4,3,1,0,3,36
Jul-18,1,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,13
Aug-18,0,2,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,4,0,0,0,4,0,0,1,1,0,1,1,2,4,5,1,0,4,37
Sep-18,1,0,1,0,0,0,0,0,1,1,3,0,0,4,0,1,0,0,5,2,0,13,1,0,0,0,0,0,0,0,5,1,0,0,0,1,40
Oct-18,1,0,1,0,1,0,0,1,1,3,1,0,0,2,1,2,0,1,4,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,25
Nov-18,3,1,0,0,0,1,2,0,2,0,2,0,0,0,1,0,0,1,5,3,0,0,0,0,1,0,1,0,0,1,2,1,0,1,0,2,30
Dec-18,1,2,2,2,1,1,1,2,1,0,2,0,0,1,1,0,2,3,9,2,0,8,0,0,4,2,3,2,1,3,1,0,0,3,0,2,62
Jan-19,2,2,1,3,2,8,1,1,1,1,2,0,0,1,2,1,1,2,5,1,0,0,0,0,2,1,2,1,1,2,1,3,1,1,0,1,53
Feb-19,1,0,1,0,0,1,0,0,0,3,1,0,0,3,0,5,0,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,23
Mar-19,0,2,0,0,1,1,0,0,2,0,1,0,0,1,1,0,0,0,5,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,21
Apr-19,0,2,2,3,1,0,1,2,2,1,2,0,0,0,0,1,4,2,6,0,0,8,0,0,3,1,1,4,3,3,0,3,1,3,0,0,59
May-19,1,2,1,0,2,2,3,2,1,1,6,0,0,4,1,0,1,1,6,1,0,4,0,0,2,1,2,3,1,1,4,1,2,1,0,0,57
Jun-19,0,0,0,0,2,1,1,1,1,1,0,0,0,1,0,1,2,0,8,0,0,2,5,0,3,1,2,2,2,1,3,4,3,2,0,3,52
Jul-19,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,11
Aug-19,0,2,1,0,1,0,1,0,0,0,2,0,0,1,1,0,0,1,4,0,0,0,5,0,0,1,1,0,1,1,3,5,5,1,0,5,42
Sep-19,1,0,1,0,0,0,0,0,1,1,2,0,0,3,0,1,0,0,5,1,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,21
Oct-19,1,0,1,0,1,0,0,1,1,3,2,0,0,2,2,2,0,1,4,0,0,12,0,0,0,1,1,0,0,0,2,1,1,1,0,0,40
Nov-19,2,1,0,0,0,1,2,0,2,0,3,0,0,0,0,0,0,1,5,2,0,0,0,0,1,0,1,0,0,1,2,1,0,1,0,1,27
Dec-19,1,2,2,2,1,1,1,2,1,0,0,0,0,1,1,0,2,3,9,1,0,8,0,0,4,2,3,2,1,3,1,0,0,3,0,3,60
Jan-20,2,2,1,3,2,8,1,1,1,4,2,0,0,5,2,5,1,2,6,1,0,0,0,0,2,1,2,1,1,2,4,3,1,1,0,1,68
Feb-20,1,0,1,0,0,1,0,0,2,0,3,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Mar-20,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,5,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17
